local,pin,area,district,state
Industrial Estate S.O (Agra),282006,NA,Agra,UTTAR PRADESH
Jajau B.O,283124,NA,Agra,UTTAR PRADESH
John's Mill S.O,282004,NA,Agra,UTTAR PRADESH
K.H.Sansthan S.O,282005,NA,Agra,UTTAR PRADESH
Karkoli B.O,283123,Bah,Agra,UTTAR PRADESH
Kaulara Kalan B.O,283111,NA,Agra,UTTAR PRADESH
Khanda B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Kheria B.O,283112,Kheragarh,Agra,UTTAR PRADESH
Kundaul B.O,283111,Bah,Agra,UTTAR PRADESH
Mandi Mirja Khan B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Mukhbar B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Nagla Dulhe Khan B.O,283121,NA,Agra,UTTAR PRADESH
Pent Khera B.O,283126,Etmadpur,Agra,UTTAR PRADESH
Pharera B.O,283113,Bah,Agra,UTTAR PRADESH
Rahlai B.O,283112,NA,Agra,UTTAR PRADESH
Raibha B.O,283101,Kiraoli,Agra,UTTAR PRADESH
Rampur B.O,283101,NA,Agra,UTTAR PRADESH
Saiyan S.O,283124,NA,Agra,UTTAR PRADESH
Semera B.O,283126,Etmadpur,Agra,UTTAR PRADESH
Semri B.O,282009,Agra,Agra,UTTAR PRADESH
Therai B.O,283125,Fatehabad,Agra,UTTAR PRADESH
Turkia B.O,283101,Kiraoli,Agra,UTTAR PRADESH
Uncha B.O,283126,Etmadpur,Agra,UTTAR PRADESH
Vikrampur B.O,283104,NA,Agra,UTTAR PRADESH
Wazitpur B.O,283111,Fatehabad,Agra,UTTAR PRADESH
Achnera Mandi B.O,283101,NA,Agra,UTTAR PRADESH
Agra Barrcks S.O,282001,NA,Agra,UTTAR PRADESH
Avas Vikas Colony S.O,282007,Sadar,Agra,UTTAR PRADESH
B.M. Khan S.O,282002,NA,Agra,UTTAR PRADESH
Barara B.O,283102,NA,Agra,UTTAR PRADESH
Bateshwar B.O,283104,NA,Agra,UTTAR PRADESH
Beman B.O,283122,NA,Agra,UTTAR PRADESH
Bihari B.O,283111,Bah,Agra,UTTAR PRADESH
Bikapur Tap Kharga B.O,283112,Kheragarh,Agra,UTTAR PRADESH
Chauma Shahpur B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Dankasha B.O,283124,NA,Agra,UTTAR PRADESH
Deori Road S.O,282001,NA,Agra,UTTAR PRADESH
Dhanaula Kalan B.O,283125,Fatahabad,Agra,UTTAR PRADESH
Dhanoli B.O,283102,Kiraoli,Agra,UTTAR PRADESH
Dulhara B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Gutila B.O,283125,Agra,Agra,UTTAR PRADESH
Holipura B.O,283113,Bah,Agra,UTTAR PRADESH
Idgha Colony S.O,282001,NA,Agra,UTTAR PRADESH
Jagner S.O,283115,NA,Agra,UTTAR PRADESH
Jaitpur S.O (Agra),283114,NA,Agra,UTTAR PRADESH
Johri Bazar S.O,282003,NA,Agra,UTTAR PRADESH
Kalal Kheria B.O,282006,Agra,Agra,UTTAR PRADESH
Kalibari S.O (Agra),282003,NA,Agra,UTTAR PRADESH
Kamala Nagar S.O (Agra),282004,NA,Agra,UTTAR PRADESH
Kurra Chittaipur B.O,282009,NA,Agra,UTTAR PRADESH
Kwari B.O,283104,NA,Agra,UTTAR PRADESH
Ladhu Khera B.O,283124,NA,Agra,UTTAR PRADESH
Lakhurani B.O,283125,Fatehabad,Agra,UTTAR PRADESH
Maloni B.O,283104,NA,Agra,UTTAR PRADESH
Manikpura B.O,283123,Bah,Agra,UTTAR PRADESH
Mehdau B.O,283110,NA,Agra,UTTAR PRADESH
N.V.Colony S.O,282004,NA,Agra,UTTAR PRADESH
Nagla Bari B.O,283201,NA,Agra,UTTAR PRADESH
Nagla Bel B.O,283201,NA,Agra,UTTAR PRADESH
Nagla Kali B.O,282009,NA,Agra,UTTAR PRADESH
Namner S.O,282001,NA,Agra,UTTAR PRADESH
Noni B.O,283115,NA,Agra,UTTAR PRADESH
Pathauli B.O,283105,Agra,Agra,UTTAR PRADESH
Shahpur Brahman B.O,283114,Bah,Agra,UTTAR PRADESH
Singaich B.O,283115,Kheragarh,Agra,UTTAR PRADESH
Tehra B.O,283124,NA,Agra,UTTAR PRADESH
Vayu Vihar S.O,283105,NA,Agra,UTTAR PRADESH
Wazir Pura S.O,282003,NA,Agra,UTTAR PRADESH
Yamuna Bridge S.O,282006,NA,Agra,UTTAR PRADESH
509 Command S.O,282001,NA,Agra,UTTAR PRADESH
Achnera S.O,283101,NA,Agra,UTTAR PRADESH
Atoos B.O,283105,NA,Agra,UTTAR PRADESH
B.P Oilmill S.O,282003,NA,Agra,UTTAR PRADESH
Barenda B.O,283123,Bah,Agra,UTTAR PRADESH
Basai Jagner B.O,283115,Keragarh,Agra,UTTAR PRADESH
Baseri Kazi B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Berichahar B.O,283102,Kheragarh,Agra,UTTAR PRADESH
Bharkol B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Billoch Pura B.O,282002,NA,Agra,UTTAR PRADESH
Bisalpur B.O,283102,Kheragarh,Agra,UTTAR PRADESH
Bitholi B.O,283113,Bah,Agra,UTTAR PRADESH
Chamraula B.O,283201,Etmadpur,Agra,UTTAR PRADESH
Chimman Lal Road B.O,282003,NA,Agra,UTTAR PRADESH
Fatehabad S.O (Agra),283111,Fatehabad,Agra,UTTAR PRADESH
G. L. Emporiaumi S.O,282001,NA,Agra,UTTAR PRADESH
Garh Mukha B.O,283119,Kheragarh,Agra,UTTAR PRADESH
Garhi Lal Kalan B.O,283125,NA,Agra,UTTAR PRADESH
Garsani B.O,283102,NA,Agra,UTTAR PRADESH
Gubroth B.O,283111,NA,Agra,UTTAR PRADESH
Hansela B.O,283101,NA,Agra,UTTAR PRADESH
Hasanpur B.O,283126,Etmadpur,Agra,UTTAR PRADESH
Hironda B.O,283124,NA,Agra,UTTAR PRADESH
I. A. F. S.O,282008,NA,Agra,UTTAR PRADESH
Jaingara B.O,283122,Kiraoli,Agra,UTTAR PRADESH
Khander B.O,283111,NA,Agra,UTTAR PRADESH
Khilawali B.O,283114,Bah,Agra,UTTAR PRADESH
Labour Colony S.O (Agra),282004,NA,Agra,UTTAR PRADESH
Midhakur B.O,283105,Agra,Agra,UTTAR PRADESH
Nahchani B.O,283122,Kiraoli,Agra,UTTAR PRADESH
Patsal B.O,283110,Kiraoli,Agra,UTTAR PRADESH
Pidhora B.O,283113,Bah,Agra,UTTAR PRADESH
Poiya Tarrakpur B.O,283126,Etdmadpur,Agra,UTTAR PRADESH
Runkata B.O,282007,NA,Agra,UTTAR PRADESH
Sadar Bazar S.O (Agra),282001,NA,Agra,UTTAR PRADESH
Sanjay Place S.O,282002,NA,Agra,UTTAR PRADESH
Shiv Nagar B.O,283114,Bah,Agra,UTTAR PRADESH
T.P. Nagar S.O,282002,NA,Agra,UTTAR PRADESH
Tasond B.O,283123,Bah,Agra,UTTAR PRADESH
Thana Shankar Dwari B.O,283125,Fatehabad,Agra,UTTAR PRADESH
Ujarai B.O,283102,Kiraoli,Agra,UTTAR PRADESH
Achna B.O,202138,Aligarh,Aligarh,UTTAR PRADESH
Ahmedpur B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Aidalpur B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Akrawat B.O,202140,NA,Aligarh,UTTAR PRADESH
Ama Madapur B.O,204215,Aligarh,Aligarh,UTTAR PRADESH
Balwant Nagaria B.O,202143,Aligarh,Aligarh,UTTAR PRADESH
Bamnoi B.O,204215,Aligarh,Aligarh,UTTAR PRADESH
Barai Shahpur B.O,204215,Aligarh,Hathras,UTTAR PRADESH
Birpura S.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Bisana B.O,204101,NA,Hathras,UTTAR PRADESH
Chhaichhau B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Dabha B.O,202121,Aligarh,Aligarh,UTTAR PRADESH
Dewa Hamidpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Dhansari B.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Digsari B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Dunai B.O,202140,NA,Aligarh,UTTAR PRADESH
Dwarikapur B.O,204216,Aligarh,Hathras,UTTAR PRADESH
Gadola B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Ganiyabali B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Garhi Balna B.O,204101,NA,Hathras,UTTAR PRADESH
Gharbara B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Ghazipur B.O,202280,Aligarh,Aligarh,UTTAR PRADESH
Gorola B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Habibganj B.O,202130,Aligarh,Aligarh,UTTAR PRADESH
Harnaut B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Jalokhari B.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Jawan S.O,202126,Aligarh,Aligarh,UTTAR PRADESH
Kakethal B.O,202281,Aligarh,Aligarh,UTTAR PRADESH
Kalayanpur Bhagirathpur B.O,202124,NA,Agra,UTTAR PRADESH
Kasison B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Kesopur Jafri B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Lutsan B.O,202139,Aligarh,Aligarh,UTTAR PRADESH
Madar Darwaja S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Madha Habibpur B.O,202155,NA,Aligarh,UTTAR PRADESH
Meetai B.O,204101,NA,Hathras,UTTAR PRADESH
Mursan S.O,204213,Aligarh,Hathras,UTTAR PRADESH
Nagla Jagdeo B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Nagla Sarua B.O,202142,Aligarh,Aligarh,UTTAR PRADESH
Naglamandir B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Narainpur B.O,202141,Aligarh,Aligarh,UTTAR PRADESH
Pachaun B.O,204211,NA,Hathras,UTTAR PRADESH
Pahawati B.O,202143,Aligarh,Aligarh,UTTAR PRADESH
Pala Aisi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Pali Mukimpur B.O,202131,Aligarh,Aligarh,UTTAR PRADESH
Pisawah S.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Sabalpur B.O,202155,Aligarh,Aligarh,UTTAR PRADESH
Sahjahanpur Baijna B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Sarai Kutub B.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Sarai Labaria S.O,202001,Aligarh,Aligarh,UTTAR PRADESH
Sheikhupur B.O,202128,Aligarh,Aligarh,UTTAR PRADESH
Siarol B.O,202165,Aligarh,Aligarh,UTTAR PRADESH
Siktara B.O,204212,Aligarh,Hathras,UTTAR PRADESH
Simardhari B.O,202124,Aligarh,Aligarh,UTTAR PRADESH
Talesara B.O,202123,Aligarh,Aligarh,UTTAR PRADESH
Tikari Kalan B.O,204211,Aligarh,Hathras,UTTAR PRADESH
Ukhlana B.O,202125,Aligarh,Aligarh,UTTAR PRADESH
Ahraula B.O,202135,Aligarh,Aligarh,UTTAR PRADESH
Alampur Fatehpur B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Allehpur B.O,204101,NA,Hathras,UTTAR PRADESH
Amrauli B.O,202122,Aligarh,Aligarh,UTTAR PRADESH
Badon B.O,202140,NA,Aligarh,UTTAR PRADESH
Barsauli B.O,204214,NA,Hathras,UTTAR PRADESH
Beharipur B.O,202140,NA,Aligarh,UTTAR PRADESH
Bharpur B.O,202132,NA,Aligarh,UTTAR PRADESH
Bidirka B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Chandaiya B.O,202139,Aligarh,Aligarh,UTTAR PRADESH
Civil Court S.O (Aligarh),202001,Aligarh,Aligarh,UTTAR PRADESH
Dhatroi B.O,204102,NA,Hathras,UTTAR PRADESH
Gangrol B.O,202170,Aligarh,Aligarh,UTTAR PRADESH
Govindpur Fagoi B.O,202002,Aligarh,Aligarh,UTTAR PRADESH
Hardoi B.O,202133,Aligarh,Aligarh,UTTAR PRADESH
Hasayan S.O,204212,Aligarh,Hathras,UTTAR PRADESH
Ismailpur B.O,202140,NA,Aligarh,UTTAR PRADESH
J D Singh S.O,202281,Aligarh,Aligarh,UTTAR PRADESH
